sample,image,mag,tier,um_per_px,gray_phase_pct,dark_area_pct,n_features,density_per_mm2,d10_um,d25_um,d50_um,d75_um,d90_um,diam_area_weighted_um,diam_max_um,feret_max_um,aspect_median,pore_density_per_mm2,pore_area_pct,pullout_area_fraction,alignment_index
WC-SiC-40pct-Cf-100pct,Image1,IC50,particle,0.03256,12.125874677715414,5.65859783658182,38,1980.7826555846198,1.8181002555394328,2.026750947542719,2.637634307054601,4.400848359645758,10.267943013733362,11.946384871555855,17.975487006275888,39.249834165214,1.6904326074100382,104.25171871497999,0.03999821395098798,0.44314036850724986,0.5537085151848711
WC-SiC-40pct-Cf-100pct,Image2,IC10,regional,0.161,24.03861159446431,4.09277662539302,664,1415.592808434164,1.8166904590237751,2.1186069348784122,2.954554650762524,4.84494320025851,10.576036944154044,12.407771483621266,29.66216611192847,99.14698439186137,1.6228121933752573,818.6560819860225,0.6006473985577211,0.29124883037342986,0.18972502510914122
WC-SiC-40pct-Cf-100pct,Image2,IC5,global,0.3247,22.590856401659433,8.851641219889158,2539,1330.8225280650743,1.8682028141017417,2.3744443373777924,3.7003042440973277,6.824991036489832,12.451686491730332,39.23289615155425,147.61939823747616,407.04819888944354,1.6777368306534572,743.7720233652385,0.7875801953690048,0.39948594560038353,0.3357163771735308
WC-SiC-40pct-Cf-100pct,Image2,IC50,particle,0.03256,10.925513798554892,8.83508489922086,65,3388.1808582368494,1.7389836594641137,1.881290226134444,2.559174216615341,3.530676325092436,9.160871599220611,13.391166672265536,18.85737070453573,54.954972102476766,1.785191964733655,156.37757807247,0.044938584671101726,0.7198945445902499,0.5694993205598217
WC-SiC-Cf,Image1,IC10,regional,0.161,29.58233752259087,3.3953830633039432,301,641.706980931752,1.7799858580763206,2.1418464630388754,3.2801200237095185,8.58662545835703,12.22053522280582,17.90328652984536,39.79920609286588,104.90246546673724,1.8536681112866205,302.7321969844146,0.21524322097139847,0.49761564527311836,0.2746846159964999
WC-SiC-Cf,Image1,IC5,global,0.3247,38.024414273184156,3.4739095375017244,1044,547.2149347380613,1.9037908273785369,2.558116699128055,6.223147484937543,9.885600089488483,13.124039779517139,20.11164936958837,80.15874631162295,387.26515854773197,2.098186281532059,204.41937217226427,0.31728895443629823,0.4894851041626898,0.10490421454141023
WC-SiC-Cf,Image1,IC50,particle,0.03256,8.085524559058097,2.5698935355635957,21,1094.64304650729,1.6836394871610791,1.9374921427928706,2.4304019904473404,7.455057296780985,8.631091446554105,9.33179739752021,12.677172347326067,34.62088126471653,1.7126057232856788,312.75515614494,0.09779613046292267,0.597131878127399,0.2193009199824932
WC-SiC-Cf,Image2,IC10,regional,0.161,30.128955833306808,3.8184092138908636,297,633.1793134110643,1.7928268419953224,2.312269457206704,4.80994316074475,9.963681842328823,14.210114848022878,15.528351851885358,31.0786839130765,120.45866788654106,2.0554476879467174,198.26826985598984,0.13408077716120773,0.6438205889674256,0.16220286299094472
WC-SiC-Cf,Image2,IC5,global,0.3247,34.12699228462194,2.2265543489409256,2489,1304.6149162481174,1.7571193685230113,1.9730420760836882,2.484942041673691,3.571076473604813,5.628508799952701,17.912050165139977,61.963444106981505,269.80127801632074,1.8397653988494005,702.8881489307856,0.3927594722490424,0.48397544879415644,0.2727110745075774
WC-SiC-Cf,Image2,IC50,particle,0.03256,7.461860780132061,1.0097310935217703,8,417.00687485991995,1.7748031056891862,1.895049924636465,4.061550721868503,7.604336444050639,8.030867693403495,7.489998098036437,8.914511281553049,17.367944720317368,2.272628887379586,0.0,0.0,0.0,0.6996577346865158
WC-ZrC-Ta-Cf,Image1,IC10,regional,0.161,11.821119012756988,2.247006599539518,168,358.16203586888486,1.7012935143649768,1.9859212585384303,2.4135308509178097,3.5726689615916105,5.687592475382362,70.8860303175752,96.3538093508617,174.19463431747835,1.7485518700893379,162.02568289306697,0.0943643964392195,0.08021858568568715,0.10589556819184913
WC-ZrC-Ta-Cf,Image1,IC5,global,0.3247,35.80110929558934,5.814307932533325,4523,2370.7405649619263,1.8319235777795646,2.1983082933354776,3.065394458386898,4.7630013022268685,7.6485817893417085,20.53845628305324,86.1315841893056,263.77633577514115,1.7649327992620172,1248.5306269598295,0.9744135216288766,0.27693685096935217,0.39798666626034507
WC-ZrC-Ta-Cf,Image1,IC50,particle,0.03256,28.08311184557219,4.145960213547801,97,5056.208357676529,1.6754404454830698,1.7730631334653817,2.0857853285139405,2.935525752755916,4.549226721198657,5.411061111471352,11.099684084160636,20.58374082230924,1.941666485697419,156.37757807247,0.045126473490434915,0.16300675112796487,0.1750697979682193
WC-ZrC-Ta-Cf,Image2,IC10,regional,0.161,17.64359458278956,5.195590050469147,1079,2300.3383137055166,1.7706908292281334,2.102971245651433,2.8026535377925463,4.32204198611345,6.963865510516171,15.461189739209106,47.85419233508235,126.0667010950949,1.742521730824626,1114.9925283299212,0.6851697365489289,0.4103292546990802,0.10631324190197416
WC-ZrC-Ta-Cf,Image2,IC5,global,0.3247,24.832685006383798,6.150800229533823,1320,691.8809519676637,1.8282223405349565,2.2286312194574784,3.266771551496805,5.947398958014512,11.804185472328056,56.26848488451022,125.25910586605727,260.2048639388972,1.8712229782034853,356.9476729469538,0.31630530120567146,0.39137512948805836,0.30408269108307356
WC-ZrC-Ta-Cf,Image2,IC50,particle,0.03256,22.34555649573647,6.846419900122724,126,6567.8582790437395,1.7177518823267064,1.9091414468622954,2.5616303984214372,3.7537830020449654,6.2298732016291485,5.445109550055213,10.692673061915073,24.549160400665436,1.9112347194121104,104.25171871497999,0.025608140846764063,0.19997982105309892,0.1779148445592323
